"ID";"Nombre";"Pilar";"Responsable PC";"Estado";"Etapa";"Impacto";"Avance";"Fecha inicio";"Fecha fin planificada";"Tipo de elemento";"Área impactada";"Macroproceso";"Complejidad";"Prioridad";"Responsable líder";"Equipo responsable";"Requiere capacitación";"Impacto económico";"Resultado esperado";"Actividades";"Registró";"Creado"
"26";"Mejorar y automatizar el proceso de cálculo de incentivos en todos los sectores de producción";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"RR.HH";"Digitalización y Analítica de Datos";"Media";"Alta";"Gelica Mejia";"Equipo IT";"No";"No";"";"";"";"21/08/2026"
"41";"Control de Mano de Obra (Personal Operativo)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Capacitación";"RR.HH";"Gestión de Personal y Asistencia";"Media";"Alta";"Gelica Mejia";"";"No";"No";"";"";"";"21/08/2026"
"42";"Implementar inspecciones internas de seguridad para la detección de incidentes, cuantificación y definición de protocolos y capacitaciones de prevención de accidentes";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Rutina de gestión";"SST";"Gestión de SST";"Media";"Alta";"Dennis Nava Linares";"";"No";"No";"";"";"";"21/08/2026"
"43";"Implementar inspecciones internas de orden y limpieza, enfocadas en la detección de patrones y recurrencias para generar planes de acción sistematizados y avanzar hacia las 5S";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Entregable 90 días";"SST";"Gestión de SST";"Media";"Alta";"Dennis Nava Linares";"";"No";"No";"";"";"";"21/08/2026"
"44";"Diseñar e implementar señaléticas de seguridad industrial mediante un plan por bloques de trabajo";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Despliegue";"SST";"Gestión de SST";"Media";"Alta";"Dennis Nava Linares";"";"No";"No";"";"";"";"21/08/2026"
"45";"Desarrollar OPL (One-Point Lesson) de Buenas Prácticas de Manufactura, Aseguramiento de Calidad y Prevención de Accidentes";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Despliegue";"Calidad";"Aseguramiento de la Calidad";"Media";"Alta";"Dennis Nava Linares";"";"No";"No";"";"";"";"21/08/2026"
"46";"Estructurar un plan integral de seguridad industrial contra incendios: certificación de seguridad, mitigación, evacuación, extintores, detectores de humo, hidrantes, capacitación, líderes y estudio de";"Transformación Digital";"";"En proceso";"Identificado";"Medio";"68 %";"31/07/2026";"09/10/2026";"Iniciativa";"SST";"Gestión de SST";"Media";"Alta";"Dennis Nava Linares";"";"No";"No";"";"11";"";"21/08/2026"
"51";"Implementación de pizarras de desempeño operativo por máquina / estación de trabajo (Expandido)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"13/07/2026";"30/09/2026";"Despliegue";"P-Expandido";"Gestión Visual del Desempeño";"Media";"Alta";"Taliana Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"52";"Implementación de pizarras de desempeño operativo por máquina / estación de trabajo (Termoformado)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Termoformado";"Gestión Visual del Desempeño";"Media";"Media";"Taliana Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"53";"Implementación de pizarras de desempeño operativo por máquina / estación de trabajo (Reciclado)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Reciclado";"Gestión Visual del Desempeño";"Media";"Media";"Fernando López";"";"No";"No";"";"";"";"21/08/2026"
"54";"Recorrido rutinario de supervisores para la observación, el relevamiento de datos y la actualización de pizarras (Gemba Walk) (Expandido)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Entregable 90 días";"P-Expandido";"Gestión Visual del Desempeño";"Media";"Media";"Taliana Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"55";"Recorrido rutinario de supervisores para la observación, el relevamiento de datos y la actualización de pizarras (Gemba Walk) (Termoformado)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Despliegue";"P-Termoformado";"Gestión Visual del Desempeño";"Media";"Alta";"Nathalia Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"56";"Desarrolar un tablero y calendario de mantenimiento preventivo, disponible y visible, con cumplimientos, proyección del mes, tipo de orden de trabajo y asignación de orden de trabajo (Expandido)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"13/07/2026";"30/09/2026";"Despliegue";"P-Expandido";"Gestión del Mantenimiento";"Media";"Media";"Taliana Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"57";"Desarrolar un  tablero y calendario de mantenimiento preventivo, disponible y visible, con cumplimientos, proyección del mes, tipo de orden de trabajo y asignación de orden de trabajo (Termoformado)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"P-Termoformado";"Gestión del Mantenimiento";"Media";"Alta";"Nathalia Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"58";"Desarrolar un  tablero y calendario de mantenimiento preventivo, disponible y visible, con cumplimientos, proyección del mes, tipo de orden de trabajo y asignación de orden de trabajo (Bolsas)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Información";"P-Extrusión";"Gestión del Mantenimiento";"Media";"Alta";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
"59";"Medir el Mtto. correctivo para Expandido que registre paros con las 6M de Ishikawa, defina contingencias, asigne OT (supervisor o mecánico de termoformado), controle inventario y mida el tiempo de res";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Despliegue";"P-Expandido";"Gestión del Mantenimiento";"Media";"Alta";"Taliana Justiniano";"Vladimir Tintaya, Taliana Justiniano";"No";"No";"Tener un cronograma anual, mensual y semanal de mantenimientos preventivos, capacitar a los operadores en el mantenimiento autónomo y atender y registrar de acuerdo a necesidad los mttos correctivos";"";"";"21/08/2026"
"60";"Elaborar un plan de mantenimiento correctivo, donde se registre el impacto del paro no planeado según las 6M de Ishikawa, el plan de contingencia, la asignación de la orden de trabajo, el consumo de i";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Despliegue";"P-Termoformado";"Gestión del Mantenimiento";"Media";"Alta";"Nathalia Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"61";"Desarrollar una matriz de habilidades del personal operativo, diseñar los métodos de evaluación, contenido educativo para reforzar la capacitación u optar por su reasignación (Termoformado)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Información";"P-Termoformado";"Gestión Visual del Desempeño";"Media";"Media";"Nathalia Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"62";"Desarrollar una matriz de habilidades del personal operativo, diseñar los métodos de evaluación, contenido educativo para reforzar la capacitación u optar por su reasignación (Expandido)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Despliegue";"P-Expandido";"Gestión Visual del Desempeño";"Media";"Media";"Taliana Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"63";"Desarrollar una matriz de habilidades del personal operativo, diseñar los métodos de evaluación, contenido educativo para reforzar la capacitación u optar por su reasignación (Bolsas)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Despliegue";"P-Extrusión";"Gestión Visual del Desempeño";"Media";"Media";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
"64";"Digitalización y mejora de la trazabilidad de la producción (registro del proceso de termoformado). Mejorar el registro: hoy no se sabe qué bultos salieron de qué bobinas y WorkCorp necesita simplific";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Despliegue";"P-Expandido";"Planificación y Control de la Producción";"Media";"Alta";"Taliana Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"65";"Mejorar el tablero de asistencias y facilitar el reporte a los jefes, optimizando el tiempo de actualización y la interface(Expandido)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Capacitación";"P-Expandido";"Gestión de Personal y Asistencia";"Media";"Alta";"Taliana Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"66";"Mejorar el tablero de asistencias y facilitar el reporte a los jefes, optimizando el tiempo de actualización y la interface (Termoformado)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Despliegue";"P-Termoformado";"Gestión de Personal y Asistencia";"Media";"Media";"Nathalia Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"67";"Mejorar el tablero de asistencias y facilitar el reporte a los jefes, optimizando el tiempo de actualización y la interface (Bolsas)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Rutina de gestión";"P-Extrusión";"Gestión de Personal y Asistencia";"Media";"Alta";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
"68";"Mejorar el reporte de avance por máquina para contrastarlo contra la asignación semanal, se diseñará un tablero BI para visualizar el balance y reasignar operadores, facilitando su capacitación en Ter";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Información";"P-Termoformado";"Aseguramiento de la Calidad";"Media";"Media";"Nathalia Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"69";"Mejorar el reporte de avance por máquina para contrastarlo contra la asignación semanal, se diseñará un tablero BI para visualizar el balance y reasignar operadores, facilitando su capacitación en nue";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Despliegue";"P-Extrusión";"Planificación y Control de la Producción";"Media";"Alta";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
"70";"Diagnóstico de utilización, generación de reportería y aprovechamiento de Workcorp, para el diseño de un plan de mejora, recapacitación y posibles nuevas herramientas en Power BI/Excel (Expandido)";"Transformación Digital";"Gabriel Cartagena";"No iniciado";"Identificado";"Medio";"—";"14/09/2026";"";"Información";"P-Expandido";"Planificación y Control de la Producción";"Media";"Media";"Taliana Justiniano";"Pedro Negrete, Taliana Justiniano, Gabriel Cartagena";"No";"No";"Información de Workcorp organizada con tableros fáciles de visualizar para los operadores y links más accesibles.";"";"";"21/08/2026"
"71";"Diagnóstico de utilización, generación de reportería y aprovechamiento de Workcorp, para el diseño de un plan de mejora, recapacitación y posibles nuevas herramientas en Power BI/Excel (Termoformado)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Rutina de gestión";"P-Termoformado";"Planificación y Control de la Producción";"Media";"Media";"Nathalia Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"72";"Diagnóstico de utilización, generación de reportería y aprovechamiento de Workcorp, para el diseño de un plan de mejora, recapacitación y posibles nuevas herramientas en Power BI/Excel (Bolsas)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Extrusión";"Digitalización y Analítica de Datos";"Media";"Alta";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
"73";"Diseñar un organigrama escalable y perfil de supervisión con responsabilidades claras. Además, crearemos herramientas para registrar, controlar el avance en telares y medir el consumo de insumos por m";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Piloto";"P-Rafia";"Digitalización y Analítica de Datos";"Media";"Media";"Félix Aguilar Amasi";"";"No";"No";"";"";"";"21/08/2026"
"74";"Diseñar un plan de control de calidad para rafia (mezcla a costura) con guías visuales, OPL impresos, muestreos, rondas de supervisión y capacitación continua, reduciendo la merma en toda la cadena pr";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Rafia";"Digitalización y Analítica de Datos";"Media";"Baja";"Félix Aguilar Amasi";"";"No";"No";"";"";"";"21/08/2026"
"75";"Desarrollar una matriz de habilidades del personal, buenas prácticas de manufactura, guias con contenido educativo por máquina y proceso.";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Rafia";"Digitalización y Analítica de Datos";"Media";"Baja";"Félix Aguilar Amasi";"";"No";"No";"";"";"";"21/08/2026"
"76";"Diseñar un plan de gestión visual de desempeño en las estaciones de trabajo mediante pizarrones que ilustren el rendimiento y/o registren el avance de la producción diaria para motivar al personal y l";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Rafia";"Gestión Visual del Desempeño";"Media";"Baja";"Félix Aguilar Amasi";"";"No";"No";"";"";"";"21/08/2026"
"87";"Implementar un plan de mantenimiento autónomo, donde los operadores se hacen cargo de la limpieza, la lubricación y una inspección visual de su zona de trabajo, generando OT al mecánico de Rafia en ca";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Quick Win";"P-Rafia";"Gestión del Mantenimiento";"Media";"Alta";"Félix Aguilar Amasi";"";"No";"No";"";"";"";"21/08/2026"
"89";"Implementar un sistema de reporte histórico de trabajos de mantenimiento, con el fin de controlar e identificar desperfectos frecuentes en Rafia";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Rutina de gestión";"P-Rafia";"Gestión del Mantenimiento";"Media";"Alta";"Félix Aguilar Amasi";"";"No";"No";"";"";"";"21/08/2026"
"90";"Desarrollar e implementar un control y calendario de mantenimiento preventivo, usando los registros manuales actuales y digitalizarlos.";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Entregable 90 días";"Sistemas";"Digitalización y Analítica de Datos";"Media";"Alta";"Félix Aguilar Amasi";"";"No";"No";"";"";"";"21/08/2026"
"91";"Digitalizar y mejorar el reporte ""Registro de Corte y Costura"" para llevar un histórico, analizarlo y detectar insumos de mala calidad especificando proveedor, producto, color u otros.";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"Sistemas";"Digitalización y Analítica de Datos";"Media";"Alta";"Félix Aguilar Amasi";"";"No";"No";"";"";"";"21/08/2026"
"92";"Implementar un tablero de entrega de turno, alimentado por una bitácora digital de eventos (paros, fallas, asistencia y producción en tiempo real)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Información";"P-Termoformado";"Digitalización y Analítica de Datos";"Media";"Alta";"Nathalia Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"93";"Implementar un plan de mantenimiento correctivo y preventivo basado en un calendario de órdenes de trabajo (OT) y gestión de seguimiento hasta el cierre de la OT";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"P-Termoformado";"Gestión del Mantenimiento";"Media";"Alta";"Nathalia Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"95";"Sensores de Utilización de Maquinaria - Guidewheel  (Parte 1)";"Transformación Digital";"";"En proceso";"Identificado";"Medio";"61 %";"13/08/2026";"02/10/2026";"Proceso";"P-Termoformado";"Digitalización y Analítica de Datos";"Media";"Alta";"Nathalia Justiniano";"";"No";"No";"";"24";"";"21/08/2026"
"96";"Automatizar la herramienta de control diario de producción y desperdicio, para optimizar el tiempo de actualización (Termoformado)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Entregable 90 días";"P-Termoformado";"Digitalización y Analítica de Datos";"Media";"Alta";"Nathalia Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"101";"Reingeniería de la herramienta del plan diario del proceso de corte, para que se genere un historial de asignaciones de personal por máquina y medir su productividad";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Extrusión";"Planificación y Control de la Producción";"Media";"Alta";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
"102";"Rediseñar y optimizar la herramienta del plan semanal de corte y extrusión, involucrando a Enrique (analista de produccion) y considerando los pedidos pendientes de comercial";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Extrusión";"Digitalización y Analítica de Datos";"Media";"Alta";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
"103";"Analizar los motivos por los cuales se dejó de mostrar la productividad en las pantallas de fábrica y tomar acciones correctivas inmediatas.";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Despliegue";"P-Extrusión";"Gestión Visual del Desempeño";"Media";"Alta";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
"104";"Reactivar las rutinas de recorrido de supervisores con checklist digitales y puedan rellenar información sobre parámetros en máquina, EPP del personal, asistencia y limpieza de las áreas de trabajo";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Quick Win";"P-Extrusión";"Supervisión y Rutinas de Campo";"Media";"Alta";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
"105";"Análisis y mejora de las herramientas digitales (archivos excel manuales) que se utilizan para el registro de la producción (productos en proceso, producto terminado, desperdicio, empaque, embultaje u";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Rutina de gestión";"P-Extrusión";"Digitalización y Analítica de Datos";"Media";"Alta";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
"106";"Mejorar el calendario digital de disponibilidad de maquinas y elaborar un plan de mantenimiento preventivo";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Capacitación";"P-Extrusión";"Digitalización y Analítica de Datos";"Media";"Alta";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
"107";"Mejorar el proceso de registro y seguimiento de eventos, incidencias, paros imprevistos registrados en WorkCorp";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Piloto";"P-Extrusión";"Digitalización y Analítica de Datos";"Media";"Alta";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
"108";"Diseño de tableros de WorkCorp detallados y consolidados de los sectores (Mezcla, Extrusión, Impresión, Corte, Empaque, Embutaje, Bombilla): bobinas en proceso, históricos, resúmenes para jefes y subj";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Rutina de gestión";"P-Extrusión";"Planificación y Control de la Producción";"Media";"Alta";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
"109";"Implementación de herramientas para optimizar la búsqueda avanzada de recetas e históricos de producción";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Extrusión";"Digitalización y Analítica de Datos";"Media";"Alta";"Miguel Rendon";"";"No";"No";"";"";"";"21/08/2026"
"110";"Optimizar la carga de datos para el ""Reporte de Producción Diario"" que los operadores llenan a mano y luego el jefe de área transcribe y/o corrige.";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Despliegue";"P-Reciclado";"Digitalización y Analítica de Datos";"Media";"Alta";"Fernando López";"";"No";"No";"";"";"";"21/08/2026"
"111";"Elaborar una herramienta para el control de mantenimiento preventivo en base a las fichas técnicas manuales disponibles, diseñando tarjetas y calendarios por cada máquina.";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Iniciativa";"P-Reciclado";"Digitalización y Analítica de Datos";"Media";"Alta";"Fernando López";"";"No";"No";"";"";"";"21/08/2026"
"112";"Digitalizar el kardex de ingreso - egreso de producción para optimizar la gestión del inventario de material pelletizado y control de traspasos para todos los sectores";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Reciclado";"Digitalización y Analítica de Datos";"Media";"Alta";"Fernando López";"";"No";"No";"";"";"";"21/08/2026"
"113";"Realizar un análisis de actividades del jefe de reciclado, con el fin de distribuir la carga de trabajo al personal auxiliar (supervisores administrativos u operativos) y gestionar el tiempo optimizad";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"P-Reciclado";"Gestión del Talento y Capacitación";"Media";"Alta";"Fernando López";"";"No";"No";"";"";"";"21/08/2026"
"114";"Estructurar, Diseñar e implementar un plan de actividades para el supervisor de reciclado y brindarle herramientas digitales con las cuales pueda apoyar con eficiencia  a Fernando Lopez";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Reciclado";"Digitalización y Analítica de Datos";"Media";"Alta";"Fernando López";"";"No";"No";"";"";"";"21/08/2026"
"115";"Rediseñar y optimizar el modelo de planificación de producción semanal del área integrando objetivos e indicadores de cumplimiento, el plan lo hace Enrique consultando con el jefe de reciclado y cruza";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"0 %";"";"";"Entregable 90 días";"P-Reciclado";"Digitalización y Analítica de Datos";"Media";"Alta";"Fernando López";"";"No";"No";"";"1";"";"21/08/2026"
"116";"Automatizar la herramienta de control diario de producción y desperdicio, para optimizar el tiempo de actualización (Expandido)";"Transformación Digital";"Pedro Negrete";"No iniciado";"Identificado";"Medio";"—";"14/09/2026";"15/10/2026";"Proceso";"P-Expandido";"Digitalización y Analítica de Datos";"Media";"Alta";"Taliana Justiniano";"Pedro Negrete, Taliana Justiniano";"No";"No";"Registros automatizados y datos transparentes y reales";"";"";"21/08/2026"
"117";"Analizar los motivos por los cuales se dejó de mostrar la productividad en las pantallas de fábrica y tomar acciones correctivas inmediatas. (termoformado)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Hito";"P-Termoformado";"Gestión Visual del Desempeño";"Media";"Alta";"Nathalia Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"118";"Desarrollar una herramienta de recorrido de producción (Gemba Walk) con checklist para los supervisores y sean ellos quienes puedan llenar las pizarras con rankings, resultados acumulado y ser parte d";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Información";"P-Termoformado";"Supervisión y Rutinas de Campo";"Media";"Alta";"Nathalia Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"119";"Desarrollar instructivos impresos (OPL) para cumplir con el aseguramiento de calidad de productos en proceso (muestreo de pesos, micronajes de láminas) y mejorar el orden y limpieza en las áreas de tr";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Termoformado";"Aseguramiento de la Calidad";"Media";"Alta";"Nathalia Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"120";"Implementar reportes digitales de producción en dos tablets para supervisores de Tanques. Registrarán datos del operador, máquina y materia prima, ofreciendo acceso en tiempo real al jefe de área para";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Rotomoldeo";"Digitalización y Analítica de Datos";"Media";"Alta";"Fernando Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"121";"Realizar acciones rutinarias (Gemba Walk) donde el supervisor recorra la planta para actualizar toda la información relacionada con la producción y el cumplimiento de objetivos del sector (Tanques)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Rotomoldeo";"Supervisión y Rutinas de Campo";"Media";"Alta";"Fernando Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"123";"Digitalizar herramientas de gestión de inventarios para los cierres de mes y los conteos cíclicos (Tanques)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Información";"P-Rotomoldeo";"Digitalización y Analítica de Datos";"Media";"Alta";"Fernando Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"124";"Diseñar una herramienta de matriz de habilidades que permita evaluar al personal de acuerdo a sus capacidades y habilidades (Tanques)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Rotomoldeo";"Gestión del Talento y Capacitación";"Media";"Alta";"Fernando Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"125";"Implementar pantallas que permitan visualizar el avance de producción (operador, KG utilizados);utilizar esos reportes (digitales) para evaluar su rendimiento y motivar al personal (instalarlas fuera";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Información";"P-Rotomoldeo";"Digitalización y Analítica de Datos";"Media";"Alta";"Fernando Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"126";"Optimizar la herramienta de incentivos integrando tiempos estándar de cambio de molde y preparación en rotomoldeo. Así, el cálculo se ajustará automáticamente ante cambios de producción, protegiendo l";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Información";"P-Rotomoldeo";"Gestión del Talento y Capacitación";"Media";"Alta";"Fernando Justiniano";"";"No";"No";"";"";"";"21/08/2026"
"127";"Estructur un módulo interactivo que vincule depósitos no identificados con el Kardex de CxC mediante los datos del cliente. Los vendedores consultarían estados de cuenta en tiempo real, agilizando la";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"0 %";"";"";"Información";"Contabilidad";"Planificación y Control Financiero";"Media";"Alta";"Elva Ferrel";"Analytico datos - Alan M.";"No";"No";"";"1";"";"21/08/2026"
